title,price,url,ad_number,date,views_total,views_today,responsibility,revenue,expenses,profit
Масло экстракционный завод,870000000,https://www.avito.ru/krasnodar/gotoviy_biznes/maslo_ekstraktsionnyy_zavod_7987542162?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7987542162,· 25 марта в 02:57,310,9,1,36666667,31666667,5000000
Ресторан Раковарня Река и Море,2300000,https://www.avito.ru/krasnodar/gotoviy_biznes/restoran_rakovarnya_reka_i_more_7815375410?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7815375410,· сегодня в 18:20,1441,7,1,900000,600000,300000
Пекарня,1150000,https://www.avito.ru/krasnodar/gotoviy_biznes/pekarnya_7972706721?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7972706721,· 23 марта в 15:17,291,23,1,600000,500000,100000
Детский сад,777777,https://www.avito.ru/krasnodar/gotoviy_biznes/detskiy_sad_7962918514?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7962918514,· 25 марта в 19:47,184,30,1,250000,180000,70000
Продается Фотостудия,9970000,https://www.avito.ru/krasnodar/gotoviy_biznes/prodaetsya_fotostudiya_7677738618?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7677738618,· вчера в 14:57,1040,5,1,1000000,500000,500000
Прибыль 760к. Производство. Готовый бизнес,15000000,https://www.avito.ru/krasnodar/gotoviy_biznes/pribyl_760k._proizvodstvo._gotovyy_biznes_7905935195?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7905935195,· 22 марта в 15:59,445,11,1,2700000,1940000,760000
Салон маникюра и педикюра,1100000,https://www.avito.ru/krasnodar/gotoviy_biznes/salon_manikyura_i_pedikyura_7954165906?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7954165906,· 25 марта в 18:14,77,23,1,550000,450000,100000
Студия йоги / прибыль 65к / ЖК / от собственника,1100000,https://www.avito.ru/krasnodar/gotoviy_biznes/studiya_yogi_pribyl_65k_zhk_ot_sobstvennika_7806370595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7806370595,· 24 марта в 08:45,990,11,1,145000,80000,65000
Магазин керамогранита Продажа либо партнерство,4000000,https://www.avito.ru/krasnodar/gotoviy_biznes/magazin_keramogranita_prodazha_libo_partnerstvo_7600332922?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7600332922,· 14 марта в 19:13,510,2,1,2652148,450000,250000
Готовый бизнес кофейня,1200000,https://www.avito.ru/krasnodar/gotoviy_biznes/gotovyy_biznes_kofeynya_7916018856?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7916018856,· 21 марта в 19:00,455,36,1,300000,200000,80000
Продам готовы бизнес,2250000,https://www.avito.ru/krasnodar/gotoviy_biznes/prodam_gotovy_biznes_7260633658?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTbGdZQkRTZko4U0YySElTIjt9ImaR5z8AAAA,7260633658,· 23 марта в 13:13,4143,16,1,1200000,300000,250000
